actual,predicted
0.050547156,0.05196494
0.051810045,0.050547156
0.0506428,0.051810045
0.050748393,0.0506428
0.048713766,0.050748393
0.04569876,0.048713766
0.04108468,0.04569876
0.039573144,0.04108468
0.035952527,0.039573144
0.035934683,0.035952527
0.035305507,0.035934683
0.03529592,0.035305507
0.03329176,0.03529592
0.0323746,0.03329176
0.025804302,0.0323746
0.02485975,0.025804302
0.022647338,0.02485975
0.021494033,0.022647338
0.021462193,0.021494033
0.018359872,0.021462193
0.018419964,0.018359872
0.018630615,0.018419964
0.0160939,0.018630615
0.016545948,0.0160939
0.016214691,0.016545948
0.015031608,0.016214691
0.026202325,0.022371612
0.024551526,0.026202325
0.029369932,0.024551526
0.029119864,0.029369932
0.029921288,0.029119864
0.030544277,0.029921288
0.031903945,0.030544277
0.031778105,0.031903945
0.03391425,0.031778105
0.034220897,0.03391425
0.034486894,0.034220897
0.0340208,0.034486894
0.034484,0.0340208
0.037403174,0.034484
0.03746944,0.037403174
0.03752056,0.03746944
0.039283466,0.03752056
0.03975717,0.039283466
0.039702266,0.03975717
0.039637726,0.039702266
0.040190954,0.039637726
0.037705526,0.040190954
0.037627187,0.037705526
0.034176223,0.037627187
0.034527335,0.034176223
0.03245108,0.034527335
0.031917386,0.03245108
0.02936413,0.031917386
0.029214239,0.02936413
0.029061016,0.029214239
0.030105911,0.029061016
0.029816119,0.030105911
0.030153384,0.029816119
0.02972862,0.030153384
0.025908217,0.02972862
0.026132485,0.025908217
0.026224967,0.026132485
0.023615861,0.026224967
0.024126347,0.023615861
0.026187869,0.024126347
0.026099183,0.026187869
0.027721353,0.026099183
0.027901068,0.027721353
0.027984258,0.027901068
0.030569859,0.027984258
0.030463306,0.030569859
0.030270392,0.030463306
0.030210594,0.030270392
0.031626716,0.030210594
0.031643976,0.031626716
0.029615764,0.031643976
0.028186444,0.029615764
0.028170034,0.028186444
0.027892267,0.028170034
0.02788158,0.027892267
0.029813876,0.02788158
0.030996209,0.029813876
0.030853957,0.030996209
0.031205915,0.030853957
0.029606152,0.031205915
0.07249183,0.06312442
0.07619117,0.07249183
0.07619082,0.07619117
0.07660637,0.07619082
0.082312495,0.07660637
0.08441018,0.082312495
0.08434908,0.08441018
0.08532183,0.08434908
