actual,predicted
0.03715263,0.02611911
0.039406203,0.025563832
0.038270872,0.0294014
0.038819954,0.0276401
0.036958013,0.028179586
0.037117753,0.025832046
0.03735259,0.026439656
0.037387684,0.0258445
0.037468348,0.026563555
0.03721726,0.026817758
0.037214838,0.026349053
0.036709186,0.026647903
0.036806762,0.025311988
0.035701785,0.025600865
0.035071068,0.024995971
0.034127086,0.024465181
0.032455426,0.023021802
0.034852926,0.022102859
0.030649507,0.023192424
0.029969526,0.02095733
0.029772716,0.019168762
0.02995475,0.01877317
0.027012974,0.019793395
0.026536398,0.016601965
0.025909552,0.016118981
0.026000679,0.014888966
0.025544154,0.015079334
0.026344681,0.014454903
0.026607165,0.016144017
0.02623291,0.016115809
0.026186135,0.015224483
0.025755195,0.015308004
0.02527795,0.015097899
0.025252089,0.014374368
0.02550924,0.0141970515
0.02526653,0.0143822
0.025450777,0.014535146
0.027301043,0.014392074
0.024287779,0.017412886
0.020571752,0.013735089
0.023467736,0.009634135
0.023612259,0.01201606
0.022218777,0.012802435
0.02252167,0.011685578
0.022324491,0.012380045
0.027796924,0.011374239
0.027735736,0.018292323
0.02756093,0.016693842
0.02689639,0.01667976
0.02747498,0.04700934
0.027325692,0.0478861
0.028260466,0.049154997
0.028339125,0.04804681
0.028282518,0.048905037
0.029327838,0.04996284
0.029223274,0.051328853
0.025891013,0.051011648
0.025909036,0.047785543
0.028416164,0.04707326
0.030508947,0.047454186
0.030780543,0.049268093
0.03220625,0.05186977
0.038587965,0.05406731
0.037990376,0.05426725
0.038690478,0.055682063
0.03824925,0.058890596
0.038993612,0.058387768
0.03865201,0.059561357
0.038371623,0.05789336
0.03774233,0.05798784
0.037587337,0.057635948
0.037342913,0.056431003
0.037552197,0.056911983
0.037623707,0.055466656
0.037592255,0.057299856
0.036816373,0.057514288
0.036218435,0.056612715
0.036091488,0.05567196
0.036117844,0.05533011
0.035206378,0.055874236
0.033918597,0.053459316
0.033685826,0.05469022
0.03197947,0.05341599
0.025771942,0.052428886
0.024158733,0.048638355
0.023336822,0.045961305
0.023984946,0.04439462
0.021890238,0.04426994
0.022148877,0.044476405
0.022769704,0.044721454
0.023838576,0.04366201
0.023847055,0.04683743
0.024095358,0.04592025
0.023459686,0.046374574
0.023260714,0.04619533
0.02336367,0.044960693
0.023228938,0.04597179
0.02325556,0.045310833
0.023218116,0.045256276
0.02322729,0.04497326
0.02247988,0.04537393
0.022212306,0.04546768
0.022210233,0.04498311
0.022158569,0.04440292
