Date,Open,High,Low,Close,Volume
2021-08-17,444.23999,444.95999,440.85001,444.04001,92673933.0
2021-08-18,442.95999,444.625,438.92001,439.17999,89351931.0
2021-08-19,436.26999,441.14001,436.12,439.85999,92812246.0
2021-08-20,440.23001,443.70999,439.70999,443.35999,72008712.0
2021-08-23,445.16,448.23001,443.43549,447.26001,54973038.0
2021-08-24,447.97,448.54001,447.42001,447.97,38744714.0
2021-08-25,448.17001,449.457,447.76999,448.91,40529711.0
2021-08-26,448.60999,448.85999,446.16,446.26001,57829572.0
2021-08-27,447.12,450.64999,447.06,450.25,77235113.0
2021-08-30,450.97,453.07001,450.70999,452.23001,48357355.0
2021-08-31,452.13,452.48999,450.92001,451.56,59300213.0
2021-09-01,452.56,453.10999,451.54501,451.79999,48698116.0
2021-09-02,453.32001,454.04999,451.91,453.19,42531250.0
2021-09-03,451.98001,453.63,451.54999,453.07999,47199758.0
2021-09-07,452.70999,452.81,450.74231,451.45999,51584882.0
2021-09-08,450.89001,451.67001,448.85999,450.91,56135251.0
2021-09-09,450.70001,452.57001,448.72,448.98001,57905536.0
2021-09-10,451.04001,451.48999,445.31,445.44,89878184.0
2021-09-13,448.64001,448.92001,444.10999,446.57999,83660977.0
2021-09-14,448.12,448.34,443.22,444.17001,78119590.0
2021-09-15,444.62,448.41,443.44,447.88,78731511.0
2021-09-16,447.32001,448.35999,444.01999,447.17001,77714425.0
2021-09-17,444.92001,445.37,441.01999,441.39999,118238387.0
2021-09-20,434.88,436.56,428.85999,434.04001,166445534.0
2021-09-21,436.53,437.91,433.07001,433.63,92526112.0
2021-09-22,436.04999,440.03,433.74701,437.85999,102350143.0
2021-09-23,439.85001,444.89001,439.60001,443.17999,76395981.0
2021-09-24,441.44,444.67001,441.20999,443.91,62094837.0
2021-09-27,442.81,444.04999,441.89999,442.64001,61371108.0
2021-09-28,439.69,440.04001,432.94,433.72,130436306.0
2021-09-29,435.19,437.04001,433.85001,434.45001,82329213.0
2021-09-30,436.01999,436.76999,428.78,429.14001,140505979.0
2021-10-01,430.98001,436.0329,427.23001,434.23999,129240106.0
2021-10-04,433.0,433.95999,426.35999,428.64001,128569957.0
2021-10-05,430.23999,435.48999,429.39001,433.10001,90682520.0
2021-10-06,429.26999,435.1199,427.54001,434.89999,113032245.0
2021-10-07,438.39001,441.67999,438.20001,438.66,72437499.0
2021-10-08,439.48001,439.89001,437.19,437.85999,74557404.0
2021-10-11,437.16,440.26001,434.62,434.69,65233285.0
2021-10-12,435.67001,436.10001,432.78,433.62,71181163.0
2021-10-13,434.70999,436.04999,431.54001,435.17999,72973979.0
2021-10-14,439.07999,442.66,438.57999,442.5,70236825.0
2021-10-15,444.75,446.26001,444.09,445.87,66260210.0
2021-10-18,443.97,447.54999,443.26999,447.19,62213228.0
2021-10-19,448.92001,450.70999,448.26999,450.64001,46996827.0
2021-10-20,451.13,452.73199,451.01001,452.41,49571569.0
2021-10-21,451.76999,453.82901,451.31,453.59,41305438.0
2021-10-22,453.13,454.67001,451.04999,453.12,58845088.0
2021-10-25,454.28,455.89999,452.39001,455.54999,45214507.0
2021-10-26,457.20001,458.48999,455.56,455.95999,56075116.0
2021-10-27,456.45001,457.16,453.85999,453.94,72437997.0
2021-10-28,455.45999,458.39999,455.45001,458.32001,51437944.0
2021-10-29,455.87,459.56,455.56,459.25,70162424.0
2021-11-01,460.29999,460.70209,458.20001,460.04001,48433642.0
2021-11-02,460.22,462.23001,460.07999,461.89999,48908417.0
2021-11-03,461.29999,465.14999,460.82999,464.72,52509825.0
2021-11-04,465.35999,467.0,464.98999,466.91,52847087.0
2021-11-05,469.28,470.64999,466.92001,468.53,66390563.0
2021-11-08,469.70001,470.23001,468.20309,468.92999,50405194.0
2021-11-09,469.32001,469.57001,465.88,467.38,51149147.0
2021-11-10,465.57999,467.38,462.04001,463.62,69429653.0
2021-11-11,465.20999,465.29001,463.75,463.76999,34848495.0
2021-11-12,465.12,467.85999,464.10999,467.26999,53466654.0
2021-11-15,468.64001,468.81,466.23001,467.42999,46980500.0
2021-11-16,467.14999,470.48499,467.07001,469.28,48857502.0
2021-11-17,469.0,469.19,467.48001,468.14001,47858289.0
2021-11-18,469.23999,470.01001,466.34,469.73001,50625607.0
2021-11-19,469.60999,470.94,468.5,468.89001,57315573.0
2021-11-22,470.89001,473.54001,467.35001,467.57001,72761954.0
2021-11-23,467.22,469.095,464.45001,468.19,73206538.0
2021-11-24,466.06,469.57001,465.19,469.44,61858813.0
2021-11-26,462.34,463.89999,457.76999,458.97,112669636.0
2021-11-29,464.07001,466.56,461.73001,464.60001,86268818.0
2021-11-30,462.0,464.03,455.29999,455.56,148559598.0
2021-12-01,461.64001,464.67001,450.29001,450.5,132485835.0
2021-12-02,450.73001,459.07001,450.31,457.39999,127637758.0
2021-12-03,459.17001,460.29999,448.92001,453.42001,137331647.0
2021-12-06,456.13,460.79001,453.56,458.79001,98977532.0
2021-12-07,464.41,468.88,458.6546,468.28,95484688.0
2021-12-08,468.70001,470.0,466.82999,469.51999,72238777.0
2021-12-09,468.14999,469.62909,466.14001,466.35001,61272568.0
2021-12-10,469.23001,470.89999,466.51001,470.73999,77159757.0
2021-12-13,470.19,470.56,466.26999,466.57001,87724680.0
2021-12-14,463.09,465.73999,460.25,463.35999,97264128.0
2021-12-15,463.42001,470.85999,460.73999,470.60001,116899251.0
2021-12-16,472.57001,472.87,464.79999,466.45001,116568626.0
2021-12-17,461.54999,464.73999,458.06,459.87,135636510.0
2021-12-20,454.48001,455.39999,451.14001,454.98001,107134822.0
2021-12-21,458.60999,463.20999,456.31,463.06,69806260.0
2021-12-22,462.79001,467.81,462.57999,467.69,58890223.0
2021-12-23,468.75,472.19,468.64001,470.60001,56439745.0
2021-12-27,472.06,477.31,472.01001,477.26001,56808619.0
2021-12-28,477.72,478.81,476.06,476.87,47274585.0
2021-12-29,476.98001,478.56,475.92001,477.48001,54502964.0
2021-12-30,477.92999,479.0,475.67001,476.16,55329041.0
